block,datatype,access,classification,context,description,sources
7114,UINT8,R,nur R laut Doku,Cascade (110),Appliance 1 Special Request,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7115,UINT8,R,nur R laut Doku,Cascade (110),Actual power output of Appliance 3,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7116,INT16,R,nur R laut Doku,Cascade (110),Appliance 3 Flow Temperature,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7117,UINT8,R,nur R laut Doku,Cascade (110),Appliance 3 Status,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7118,UINT8,R,nur R laut Doku,Cascade (110),Appliance 3 Special Request,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7119,UINT8,R,nur R laut Doku,Cascade (110),Actual power output of Appliance 4,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7120,INT16,R,nur R laut Doku,Cascade (110),Appliance 4 Flow Temperature,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7121,UINT8,R,nur R laut Doku,Cascade (110),Appliance 4 Status,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7122,UINT8,R,nur R laut Doku,Cascade (110),Appliance 4 Special Request,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7123,UINT8,R,nur R laut Doku,Cascade (110),Actual power output of Appliance 5,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7124,INT16,R,nur R laut Doku,Cascade (110),Appliance 5 Flow Temperature,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7125,UINT8,R,nur R laut Doku,Cascade (110),Appliance 5 Status,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7126,UINT8,R,nur R laut Doku,Cascade (110),Appliance 5 Special Request,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7127,UINT8,R,nur R laut Doku,Cascade (110),Actual power output of Appliance 6,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7128,INT16,R,nur R laut Doku,Cascade (110),Appliance 6 Flow Temperature,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7129,UINT8,R,nur R laut Doku,Cascade (110),Appliance 6 Status,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7130,UINT8,R,nur R laut Doku,Cascade (110),Appliance 6 Special Request,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7131,UINT8,R,nur R laut Doku,Cascade (110),Actual power output of Appliance 7,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7132,INT16,R,nur R laut Doku,Cascade (110),Appliance 7 Flow Temperature,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7133,UINT8,R,nur R laut Doku,Cascade (110),Appliance 7 Status,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
