block,datatype,access,classification,context,description,sources
7503,ENUM8,R/W,enthält W laut Doku,BufferTank (22),Heating Cooling Control strategy used with buffer tank,GTW-08-Modbus-parameterlijst_gap_report.md
7504,UINT16,R/W,enthält W laut Doku,BufferTank (22),Fixed setpoint requested by buffer tank in Heating Mode,GTW-08-Modbus-parameterlijst_gap_report.md
7505,UINT16,R/W,enthält W laut Doku,BufferTank (22),Fixed setpoint requested by buffer tank in Cooling Mode,GTW-08-Modbus-parameterlijst_gap_report.md
7506,UINT8,R/W,enthält W laut Doku,BufferTank (22),Buffer Tank Slope,GTW-08-Modbus-parameterlijst_gap_report.md
7507,UINT16,R/W,enthält W laut Doku,BufferTank (22),Offset to add to the calculate Setpoint,GTW-08-Modbus-parameterlijst_gap_report.md
7508-7517,OCTET_STRING,R/W,enthält W laut Doku,BufferTank (22),Time program buffer tank,GTW-08-Modbus-parameterlijst_gap_report.md
7518-7527,OCTET_STRING,R/W,enthält W laut Doku,BufferTank (22),(no description),GTW-08-Modbus-parameterlijst_gap_report.md
7528-7537,OCTET_STRING,R/W,enthält W laut Doku,BufferTank (22),(no description),GTW-08-Modbus-parameterlijst_gap_report.md
7538-7547,OCTET_STRING,R/W,enthält W laut Doku,BufferTank (22),(no description),GTW-08-Modbus-parameterlijst_gap_report.md
7548-7557,OCTET_STRING,R/W,enthält W laut Doku,BufferTank (22),(no description),GTW-08-Modbus-parameterlijst_gap_report.md
7558-7567,OCTET_STRING,R/W,enthält W laut Doku,BufferTank (22),(no description),GTW-08-Modbus-parameterlijst_gap_report.md
7568-7577,OCTET_STRING,R/W,enthält W laut Doku,BufferTank (22),(no description),GTW-08-Modbus-parameterlijst_gap_report.md
7600,INT16,R,nur R laut Doku,BufferTank (22),Measured buffer temperature bottom,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7601,INT16,R,nur R laut Doku,BufferTank (22),Measured buffer temperature top,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7602,ENUM8,R,nur R laut Doku,BufferTank (22),State buffer tank pump,GTW-08-Modbus-parameterlijst_gap_report.md
7603,ENUM8,R,nur R laut Doku,BufferTank (22),The buffer tank Mode,GTW-08-Modbus-parameterlijst_gap_report.md
7604,UINT8,R,nur R laut Doku,BufferTank (22),Buffer Tank winning heat demand request : the winning heat demand requested by the zones connected after the buffer tank - Power,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7605,INT16,R,nur R laut Doku,BufferTank (22),Buffer Tank winning heat demand request : the winning heat demand requested by the zones connected after the buffer tank - temperature Setpoint,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
